tool	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
run set	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRtrans.drifttasks
../../tests/effects/tr_tuple_drift/	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)
all-ev-pos.ml	unknown	2.204137	2.8115819469094276	true	0.614043	0.6336096019949764	true	6.264482	6.278757906053215	true	1.532681	1.8748680669814348	true	6.886411	6.899055565008894	true	1.600152	1.8427162340376526
alt-inev.ml	unknown	62.066643	62.33301328797825	unknown	18.340395	18.59814701694995	unknown	200.106467	200.21563982591033	unknown	49.013868	49.156273315194994	unknown	329.575702	329.7135522910394	unknown	103.552493	103.75969700398855
auction.ml	unknown	88.001585	88.04753529699519	unknown	43.510655	43.76533327600919	unknown	155.734259	155.77738937013783	unknown	53.769893	54.11887131398544	unknown	307.680918	307.88173291203566	unknown	108.04533	108.32623135205358
binomial_heap.ml	unknown	446.673817	447.4851509500295	unknown	107.168362	107.3639673718717	unknown	572.016644	572.1343395649455	unknown	198.535114	198.89891345589422	unknown	669.595866	669.7514624937903	unknown	238.107149	238.33846236998215
concurrent_sum.ml	true	3.451631	4.342469689901918	true	1.51381	1.59735744795762	true	8.454278	8.680045593995601	true	3.390033	3.570943883853033	true	25.439293	25.58289168588817	true	11.83109	11.841546467971057
depend.ml	true	0.102668	0.1679295019712299	true	0.040492	0.04965052008628845	true	0.101756	0.103461081860587	true	0.044064	0.051825209986418486	true	0.097726	0.10720083210617304	true	0.042391	0.16811261512339115
disj-gte.ml	unknown	34.294072	35.184160529170185	unknown	8.066097	8.98804699885659	unknown	94.918805	94.93652273411863	unknown	13.600815	13.610487954923883	true	129.825298	130.19174653408118	true	25.674434	25.69516715593636
disj-nondet.ml	unknown	66.892022	67.24885395891033	unknown	10.237961	11.817719509126619	unknown	101.786376	101.94664655299857	unknown	12.329706	13.913243209011853	true	252.054466	254.0966418031603	true	35.003368	36.3098166550044
disj.ml	unknown	36.361717	36.89410445489921	unknown	7.463714	7.913369154091924	unknown	60.871753	60.899641250958666	unknown	11.040135	13.323710767086595	true	137.054204	137.40255379886366	unknown	102.689196	103.70781146292575
higher-order.ml	unknown	9.056029	9.066792879020795	true	1.876823	3.01370608410798	unknown	18.462545	18.6322051291354	true	5.116442	5.4742198379244655	true	23.052414	26.213038482004777	true	9.881538	12.529067853000015
intro-ord3.ml	unknown	70.857584	71.74220692901872	unknown	8.37323	8.376688813790679	true	152.375085	153.91834086203016	true	24.142051	27.64778641797602	true	181.916562	182.27361283800565	true	32.259198	34.590308661805466
last-ev-even.ml	unknown	7.157832	7.862252324819565	unknown	1.478025	1.481631922069937	unknown	17.433762	17.438295853091404	unknown	6.211253	7.891087233088911	true	39.856106	41.238753254991025	unknown	12.522922	13.186320898821577
lics18-amortized.ml	unknown	276.111159	276.35283464891836	TIMEOUT	900.427814	901.0266615168657	TIMEOUT	901.012751	902.1316939310636	unknown	288.03962	289.44849275192246	TIMEOUT	901.015351	902.1388678969815	unknown	587.406814	587.8145176789258
lics18-hoshrink.ml	unknown	9.732394	9.736494273180142	unknown	1.218414	1.8903070169035345	unknown	19.353722	19.961221754085273	unknown	3.417877	3.7559862919151783	unknown	20.180002	21.239199643023312	unknown	3.362294	5.333492235979065
lics18-web.ml	unknown	91.418442	91.91864160518162	unknown	53.000856	53.015497455140576	unknown	241.510595	241.5388321110513	unknown	189.318785	190.01587907690555	TIMEOUT	900.270968	901.027071980061	TIMEOUT	901.01555	904.1496086439583
market.ml	unknown	127.799321	128.06648445199244	unknown	33.119814	35.19678861810826	TIMEOUT	901.01324	903.0328887777869	unknown	277.580132	278.6446715530474	TIMEOUT	900.845562	901.011927908985	unknown	641.303694	643.4887924860232
max-min.ml	unknown	34.042696	34.046410182956606	unknown	9.186581	10.53659777995199	unknown	145.136227	146.43868792802095	unknown	24.435672	25.79024405614473	TIMEOUT	900.579998	901.011347464053	unknown	233.492448	236.49043650506064
monotonic.ml	true	5.33356	6.072538692038506	true	2.383522	3.0612520738504827	unknown	19.905929	22.37974665290676	true	3.596901	3.9301243950612843	true	31.052519	31.734652625164017	true	6.279176	6.935974643100053
nondet_max.ml	unknown	6.387398	6.392354492796585	true	2.239751	2.2502356530167162	true	17.397873	17.700617281952873	true	5.143383	5.14526181994006	true	17.245652	18.637585061136633	true	3.801868	3.8069948910269886
num_evens.ml	unknown	16.606055	16.611851232126355	true	8.878405	10.446152593940496	true	30.579357	31.801251495955512	true	13.584734	14.604766075965017	true	61.335488	62.69575761305168	true	21.407422	23.391114972066134
order-irrel-nondet.ml	unknown	13.007363	13.026417999062687	unknown	2.633121	2.636471906909719	unknown	27.806997	28.47302756900899	unknown	6.71741	6.731795011088252	unknown	75.50105	75.84533382300287	unknown	14.840364	16.855454951990396
order-irrel.ml	unknown	9.992802	9.998247420880944	unknown	1.852663	2.9418002699967474	unknown	13.223772	14.200972957070917	unknown	2.974988	5.311404159059748	unknown	36.43135	36.44106958899647	unknown	15.907263	17.922118081944063
overview1.ml	unknown	4.150811	4.155192274134606	unknown	0.758268	0.7610826001036912	true	5.019203	7.144661294063553	true	1.950216	3.9527662771288306	true	5.388402	5.754465569974855	true	2.346685	3.353982992004603
reentr.ml	true	6.566804	6.570503221126273	true	3.656411	3.8806628389284015	true	14.978496	16.206318567041308	true	6.841226	9.160826371982694	true	19.022671	19.025970904156566	true	8.842536	10.176433115033433
resource-analysis.ml	unknown	4.668398	5.167056794976816	true	2.43512	3.3230586270801723	true	9.361199	10.890331358881667	true	3.065962	3.739292071899399	true	9.564886	10.586107705021277	true	3.096964	6.084434845019132
sum-appendix.ml	true	4.382109	4.634350270032883	true	1.179129	1.4060876609291881	true	5.98328	8.432119829813018	true	1.634393	2.6420555289369076	true	5.863319	5.868804371915758	true	1.625019	3.6124281941447407
sum-of-ev-even.ml	true	2.106503	2.610637818928808	unknown	0.562451	1.451466334052384	true	5.890965	6.202200681902468	unknown	1.709798	3.05762421595864	true	6.194735	7.898042859043926	unknown	1.770818	3.4208586260210723
temperature.ml	unknown	40.359675	40.36708425497636	unknown	13.338034	14.703204801073298	true	63.71126	65.5424856080208	unknown	15.748784	16.092535960953683	true	322.498146	322.5314756319858	unknown	133.534729	133.54397642915137
