subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_st
first,sum3,Pos,0.12,T,Polka_st
first,mc91_98,Pos,0.26,T,Polka_st
first,pldi082_unbounded1,Pos,1.19,T,Polka_st
first,seq-len,Pos,9.78,F,Polka_st
first,addition,Pos,0.38,T,Polka_st
first,inductive5-2,Pos,0.05,T,Polka_st
first,substring2,Pos,0.57,T,Polka_st
first,svd,Pos,67.44,T,Polka_st
first,inductive,Pos,1.05,T,Polka_st
first,sum4,Pos,0.14,F,Polka_st
first,enc-zip3,Pos,0.31,T,Polka_st
first,gcd,Pos,0.66,T,Polka_st
first,inductive1-3,Pos,0.44,T,Polka_st
first,enc-zip_map,Pos,0.57,T,Polka_st
first,enc-zip,Pos,0.31,F,Polka_st
first,xyz,Pos,2.56,T,Polka_st
first,recHanoi03,Pos,0.09,T,Polka_st
first,up_down_stair,Pos,4.53,T,Polka_st
first,seq-len1,Pos,9.02,T,Polka_st
first,inductive6-3,Pos,0.01,F,Polka_st
first,enc-zip4,Pos,0.34,F,Polka_st
first,copy_intro,Pos,0.21,T,Polka_st
first,mc91_99,Pos,0.25,T,Polka_st
first,for_bounded_loop1,Pos,1.64,T,Polka_st
first,enc-rev_accum,Pos,0.28,T,Polka_st
first,inductive1-2,Pos,0.43,T,Polka_st
first,xy10,Pos,0.56,T,Polka_st
first,gulwani_cegar1,Pos,0.97,T,Polka_st
first,hanoi,Pos,5.06,F,Polka_st
first,inductive4-1,Pos,0.7,T,Polka_st
first,xy4,Pos,0.56,T,Polka_st
first,eq,Pos,7.04,T,Polka_st
first,nested_loop,Pos,timeout,ER,Polka_st
first,mult_twice,Pos,0.51,F,Polka_st
first,mc91,Pos,0.21,T,Polka_st
first,inductive4,Pos,0.27,T,Polka_st
first,sum_intro,Pos,0.2,T,Polka_st
first,inductive6-2,Pos,0.01,T,Polka_st
first,file,Pos,1.36,F,Polka_st
first,enc-zip_map2,Pos,0.55,F,Polka_st
first,mult,Pos,0.26,T,Polka_st
first,is_prime,Pos,1.13,T,Polka_st
first,map_map,Pos,0.21,T,Polka_st
first,ack,Pos,3.56,T,Polka_st
first,inductive3,Pos,0.02,T,Polka_st
first,sum6,Pos,0.16,F,Polka_st
first,inductive2,Pos,0.02,T,Polka_st
first,inductivea,Pos,0.43,T,Polka_st
first,substring1,Pos,0.6,T,Polka_st
first,inductive3-2,Pos,0.04,T,Polka_st
first,odd_even,Pos,0.26,F,Polka_st
first,fib,Pos,0.18,T,Polka_st
first,xyz2,Pos,2.54,T,Polka_st
first,gib,Pos,1.4,T,Polka_st
first,pldi082_unbounded2,Pos,0.17,T,Polka_st
first,inductive5,Pos,0.02,T,Polka_st
first,xy0,Pos,0.15,T,Polka_st
first,prog2,Pos,0.12,T,Polka_st
first,enc-rev_append,Pos,1.14,T,Polka_st
first,flow,Pos,0.0,T,Polka_st
